CUSIP,Short Name,Price Date,Day,Funds,Market Code,Market,Price Source,Bid Price,Ask Price,Last Trade Price,Statement Price,Update Date,Trade Volume,Price Status,Statement Price Status
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-31,Tue,C,XU,CDN MUT FUND,SVC,    121.1223,    121.1223,    121.1223,       0.000,2016-12-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-30,Mon,C,XU,CDN MUT FUND,SVC,    121.1223,    121.1223,    121.1223,,2016-12-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-29,Sun,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-28,Sat,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-27,Fri,C,XU,CDN MUT FUND,SVC,    121.1223,    121.1223,    121.1223,,2016-12-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-26,Thu,C,XU,CDN MUT FUND,SVC,    121.1223,    121.1223,    121.1223,,2016-12-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-25,Wed,C,XU,CDN MUT FUND,SVC,    121.1223,    121.1223,    121.1223,,2016-12-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-24,Tue,C,XU,CDN MUT FUND,SVC,    121.1223,    121.1223,    121.1223,,2016-12-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-23,Mon,C,XU,CDN MUT FUND,SVC,    121.1223,    121.1223,    121.1223,,2016-12-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-22,Sun,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-21,Sat,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-20,Fri,C,XU,CDN MUT FUND,SVC,    121.1223,    121.1223,    121.1223,,2016-12-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-19,Thu,C,XU,CDN MUT FUND,SVC,    121.1223,    121.1223,    121.1223,,2016-12-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-18,Wed,C,XU,CDN MUT FUND,SVC,    121.1223,    121.1223,    121.1223,,2016-12-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-17,Tue,C,XU,CDN MUT FUND,SVC,    121.1223,    121.1223,    121.1223,,2016-12-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-16,Mon,C,XU,CDN MUT FUND,SVC,    121.1223,    121.1223,    121.1223,,2016-12-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-15,Sun,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-14,Sat,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-13,Fri,C,XU,CDN MUT FUND,SVC,    121.1223,    121.1223,    121.1223,,2016-12-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-12,Thu,C,XU,CDN MUT FUND,SVC,    121.1223,    121.1223,    121.1223,,2016-12-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-11,Wed,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-10,Tue,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-09,Mon,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-08,Sun,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-07,Sat,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-06,Fri,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-05,Thu,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-04,Wed,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-03,Tue,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-02,Mon,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2017-01-01,Sun,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-31,Sat,C,,,,,,,       0.000,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-30,Fri,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,       0.000,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-29,Thu,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-28,Wed,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-27,Tue,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-26,Mon,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-25,Sun,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-24,Sat,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-23,Fri,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-22,Thu,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-21,Wed,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-20,Tue,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-19,Mon,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-18,Sun,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-17,Sat,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-16,Fri,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-15,Thu,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-14,Wed,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-13,Tue,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-12,Mon,C,XU,CDN MUT FUND,SVC,    119.3303,    119.3303,    119.3303,,2016-11-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2016-12-11,Sun,C,,,,,,,,,,,
